2019-08-08 19:09:14.2989 Info Starting Jackett v0.11.566.0 
2019-08-08 19:09:15.3649 Info Environment version: 4.0.30319.42000 (/app/Jackett/) 
2019-08-08 19:09:15.3719 Info OS version: Unix 4.9.125.0 (64bit OS) (64bit process) 
2019-08-08 19:09:15.3719 Info Jackett variant: CoreLinuxAmdx64 
2019-08-08 19:09:15.3719 Info ThreadPool MaxThreads: 32767 workerThreads, 1000 completionPortThreads 
2019-08-08 19:09:15.3805 Info App config/log directory: /config/Jackett 
2019-08-08 19:09:15.3805 Info issue: Ubuntu 18.04.2 LTS \n \l 
2019-08-08 19:09:15.3805 Info Using HTTP Client: HttpWebClient2NetCore 
2019-08-08 19:09:15.9686 Info Loading Cardigann definitions from: /config/cardigann/definitions/, /etc/xdg/cardigan/definitions/, /app/Jackett/Definitions 
2019-08-08 19:09:16.0058 Info Loading Cardigann definition /app/Jackett/Definitions/shokweb.yml 
2019-08-08 19:09:16.1043 Info Loading Cardigann definition /app/Jackett/Definitions/desitorrents.yml 
2019-08-08 19:09:16.1185 Info Loading Cardigann definition /app/Jackett/Definitions/tazmaniaden.yml 
2019-08-08 19:09:16.1247 Info Loading Cardigann definition /app/Jackett/Definitions/divteam.yml 
2019-08-08 19:09:16.1247 Info Loading Cardigann definition /app/Jackett/Definitions/kinozal.yml 
2019-08-08 19:09:16.1359 Info Loading Cardigann definition /app/Jackett/Definitions/rptorrents.yml 
2019-08-08 19:09:16.1359 Info Loading Cardigann definition /app/Jackett/Definitions/greekteam.yml 
2019-08-08 19:09:16.1485 Info Loading Cardigann definition /app/Jackett/Definitions/hdcenter.yml 
2019-08-08 19:09:16.1578 Info Loading Cardigann definition /app/Jackett/Definitions/nnm-club.yml 
2019-08-08 19:09:16.2000 Info Loading Cardigann definition /app/Jackett/Definitions/totheglory.yml 
2019-08-08 19:09:16.2066 Info Loading Cardigann definition /app/Jackett/Definitions/btdb.yml 
2019-08-08 19:09:16.2115 Info Loading Cardigann definition /app/Jackett/Definitions/girotorrent.yml 
2019-08-08 19:09:16.2205 Info Loading Cardigann definition /app/Jackett/Definitions/kapaki.yml 
2019-08-08 19:09:16.2205 Info Loading Cardigann definition /app/Jackett/Definitions/0daykiev.yml 
2019-08-08 19:09:16.2342 Info Loading Cardigann definition /app/Jackett/Definitions/bigtower.yml 
2019-08-08 19:09:16.2342 Info Loading Cardigann definition /app/Jackett/Definitions/xtremezone.yml 
2019-08-08 19:09:16.2459 Info Loading Cardigann definition /app/Jackett/Definitions/torrentbd.yml 
2019-08-08 19:09:16.2534 Info Loading Cardigann definition /app/Jackett/Definitions/dreamteam.yml 
2019-08-08 19:09:16.2632 Info Loading Cardigann definition /app/Jackett/Definitions/uhdbits.yml 
2019-08-08 19:09:16.2632 Info Loading Cardigann definition /app/Jackett/Definitions/insanetracker.yml 
2019-08-08 19:09:16.2753 Info Loading Cardigann definition /app/Jackett/Definitions/tenyardtracker.yml 
2019-08-08 19:09:16.2753 Info Loading Cardigann definition /app/Jackett/Definitions/mteamtp.yml 
2019-08-08 19:09:16.2860 Info Loading Cardigann definition /app/Jackett/Definitions/casatorrent.yml 
2019-08-08 19:09:16.2943 Info Loading Cardigann definition /app/Jackett/Definitions/karagarga.yml 
2019-08-08 19:09:16.3124 Info Loading Cardigann definition /app/Jackett/Definitions/torrentccf.yml 
2019-08-08 19:09:16.3124 Info Loading Cardigann definition /app/Jackett/Definitions/itorrent.yml 
